estimate	bias	sd	sdBoot	RMSE	coverage	widthCI	num.sim	truth
aiptw_trueOutcomePred_standard	2.00800695994224	0.00800695994223618	0.162984633111892	0.167204146501756	0.163018324297832	0.956	0.655440254286883	500	2
aiptw_trueOutcomePred_bagging	2.00831792271561	0.00831792271560786	0.160847140278302	0.17565230949634	0.160901357262576	0.964	0.688557053225654	500	2
aiptw_trueConf_standard	2.00764817735025	0.00764817735025347	0.16089170804852	0.166054075472941	0.160912597555671	0.96	0.65093197585393	500	2
aiptw_trueConf_bagging	2.00806325437484	0.00806325437484198	0.158728774531255	0.175836460565799	0.158774841481826	0.968	0.689278925417934	500	2
aiptw_truePropen_standard	2.00595433165897	0.00595433165896902	0.222624675811363	0.212688007954722	0.222481632619547	0.956	0.833736991182512	500	2
aiptw_truePropen_bagging	2.00502927541408	0.00502927541408124	0.206594583598909	0.21186863848441	0.206449153400183	0.966	0.830525062858885	500	2
aiptw_allPot_standard	2.00225474154617	0.00225474154616934	0.278328270723632	0.33369094767407	0.278058944993466	0.984	1.30806851488235	500	2
aiptw_allPot_bagging	2.00210439023849	0.00210439023848902	0.250970736301384	0.250318240534387	0.250728471293101	0.958	0.981247502894797	500	2
aiptw_lassoOutcome_standard	2.00368793724114	0.00368793724113539	0.183603592482188	0.214876965057891	0.183456969055731	0.98	0.842317703026931	500	2
aiptw_lassoOutcome_bagging	2.00219525572925	0.00219525572925416	0.179362538276189	0.191570676175527	0.179196533014231	0.962	0.750957050608066	500	2
aiptw_lassoSep_standard	2.00546446421416	0.00546446421416338	0.261483459928464	0.319499607964121	0.261278994535872	0.986	1.25243846321935	500	2
aiptw_lassoSep_bagging	2.00222863220798	0.00222863220798207	0.239251478815505	0.23999486958559	0.239022497637134	0.958	0.940779888775515	500	2
aiptw_lassoStepwiseT_standard	2.00738740863122	0.00738740863121576	0.165414036232393	0.185817080033218	0.165413583427149	0.964	0.728402953730216	500	2
aiptw_lassoStepwiseT_bagging	2.00273375143572	0.00273375143572099	0.16639402253932	0.17997277948171	0.166250023134598	0.962	0.705493295568303	500	2
aiptw_lassoStepwiseY_standard	2.00787104162532	0.00787104162532416	0.164136100470279	0.185988580368478	0.164160687909444	0.968	0.729075235044434	500	2
aiptw_lassoStepwiseY_bagging	2.00241116898903	0.00241116898902825	0.166131035486113	0.180111811252346	0.165982335342284	0.964	0.706038300109195	500	2
aiptw_stepwise_standard	2.00409818340464	0.00409818340463962	0.249620172955555	0.308920201439643	0.249404100591964	0.99	1.2109671896434	500	2
aiptw_stepwise_bagging	2.00143416358769	0.00143416358769246	0.230032850940966	0.234655388807612	0.229807178112871	0.962	0.919849124125837	500	2
aiptw_allLasso_standard	2.00407039117793	0.00407039117792647	0.183390779977736	0.215572765745932	0.183252508601716	0.982	0.845045241724052	500	2
aiptw_allLasso_bagging	2.00198525429161	0.00198525429161294	0.179648630373306	0.19184090579489	0.179479871765101	0.964	0.752016350715969	500	2
iptw_trueOutcomePred_standard	2.03348063929038	0.0334806392903752	0.184501517123209	0.194834946396178	0.187333076119559	0.944	0.763752989873019	500	2
iptw_trueOutcomePred_bagging	2.03938970034888	0.0393897003488846	0.181951195344412	0.197949505535121	0.185988100441563	0.952	0.775962061697675	500	2
iptw_trueConf_standard	2.03183826256021	0.0318382625602102	0.217384169165773	0.227931713883767	0.219488132282223	0.946	0.893492318424366	500	2
