estimate	bias	sd	sdBoot	RMSE	coverage	widthCI	num.sim	truth
iptw_allPot_standard	2.01142038344073	0.0114203834407271	0.145730993593455	0.136941382463763	0.146032436830594	0.948	0.536810219257949	500	2
iptw_allPot_bagging	2.0126613955853	0.0126613955853018	0.141245271019071	0.184359500115624	0.141670875871676	0.996	0.722689240453245	500	2
iptw_lassoOutcome_standard	2.00928958351657	0.00928958351657348	0.086240367971	0.0987192203115588	0.0866534628710782	0.974	0.386979343621311	500	2
iptw_lassoOutcome_bagging	2.01154212055965	0.0115421205596513	0.0837005934506216	0.129594337760684	0.0844097050836679	0.994	0.508009804021883	500	2
iptw_lassoSep_standard	2.01482694722543	0.0148269472254317	0.145244892956127	0.134571996706168	0.14585515121518	0.948	0.527522227088178	500	2
iptw_lassoSep_bagging	2.0158405153514	0.0158405153513998	0.133619131696666	0.178998135264981	0.134422044833643	0.994	0.701672690238726	500	2
iptw_lassoStepwiseT_standard	2.0386425540229	0.0386425540229001	0.101237284502384	0.0958126681701719	0.108266969936738	0.916	0.375585659227074	500	2
iptw_lassoStepwiseT_bagging	2.03552353997539	0.0355235399753871	0.082341409989512	0.127038492393824	0.0896017269691032	0.994	0.497990890183792	500	2
iptw_lassoStepwiseY_standard	2.04033541367244	0.0403354136724377	0.101160280251631	0.0964067612744962	0.108811217675909	0.916	0.377914504196025	500	2
iptw_lassoStepwiseY_bagging	2.0364380748788	0.0364380748788041	0.0828075091168169	0.127806381099203	0.0903941519119062	0.994	0.501001013908876	500	2
iptw_stepwise_standard	2.00850910088743	0.00850910088743119	0.156132380169526	0.141127689076489	0.156208099325992	0.946	0.553220541179835	500	2
iptw_stepwise_bagging	2.01334512278483	0.0133451227848326	0.140534196174502	0.186883861983993	0.141026426161791	0.994	0.732584738977253	500	2
iptw_allLasso_standard	2.00928958351657	0.00928958351657338	0.0862403679709999	0.0987255637083008	0.0866534628710781	0.974	0.387004209736539	500	2
iptw_allLasso_bagging	2.01153546798672	0.0115354679867203	0.0837016967733823	0.12960726922942	0.0844098875507509	0.994	0.508060495379325	500	2
