Xc1	Xc2	Xp1	Xp2	Xi1	Xi2	Xs1	Xs2	Xs3	Xs4	Xs5	Xs6	Xs7	Xs8	Xs9	Xs10	Xs11	Xs12	Xs13	Xs14
0.022	0.192	1	0.998	0.017	0.01	0.054	0.049	0.026	0.043	0.019	0.038	0.377	0.023	0.163	0.029	0.038	0.182	0.038	0.014
0.509	0.235	1	1	0.135	0.75	0.095	0.368	0.395	0.096	0.332	0.313	0.056	0.038	0.16	0.171	0.245	0.299	0.229	0.052
0.426	0.269	1	1	0.019	0.02	0.016	0.013	0.006	0.019	0.042	0.034	0.151	0.014	0.012	0.011	0.007	0.032	0.036	0.075
0.774774774774775	0.502502502502503	0.964964964964965	1	0.0870870870870871	0.261261261261261	0.011011011011011	0.016016016016016	0.146146146146146	0.155155155155155	0.019019019019019	0.029029029029029	0.0850850850850851	0.028028028028028	0.023023023023023	0.03003003003003	0.012012012012012	0.021021021021021	0.0880880880880881	0.117117117117117
0.9	0.297	1	1	0.351	0.194	0.027	0.082	0.079	0.09	0.033	0.086	0.077	0.02	0.171	0.022	0.105	0.528	0.377	0.04
0.764	0.313	1	1	0.03	0.196	0.095	0.049	0.046	0.054	0.185	0.042	0.063	0.079	0.409	0.271	0.436	0.138	0.036	0.389
0.229	0.395	1	1	0.076	0.025	0.067	0.375	0.033	0.015	0.133	0.037	0.025	0.049	0.021	0.02	0.04	0.171	0.101	0.023
0.579	0.08	1	1	0.26	0.027	0.059	0.062	0.403	0.483	0.044	0.015	0.794	0.569	0.126	0.058	0.297	0.376	0.077	0.11
0.057	0.118	1	1	0.044	0.022	0.073	0.04	0.018	0.018	0.062	0.031	0.255	0.039	0.374	0.085	0.031	0.016	0.055	0.032
0.224	0.091	1	1	0.049	0.063	0.031	0.022	0.079	0.152	0.111	0.065	0.156	0.026	0.099	0.16	0.027	0.049	0.04	0.02
0.638	0.592	1	1	0.079	0.119	0.03	0.04	0.155	0.181	0.053	0.067	0.13	0.062	0.032	0.334	0.141	0.139	0.045	0.201
0.813	0.846	1	1	0.125	0.08	0.03	0.106	0.49	0.173	0.065	0.268	0.158	0.045	0.456	0.209	0.163	0.101	0.108	0.087
0.174	0.266	1	1	0.011	0.021	0.004	0.012	0.039	0.013	0.027	0.023	0.064	0.144	0.018	0.036	0.019	0.013	0.02	0.028
0.023	0.026	1	1	0.122	0.009	0.025	0.011	0.019	0.087	0.014	0.171	0.218	0.055	0.367	0.026	0.01	0.054	0.055	0.019
0.232	0.063	1	1	0.016	0.013	0.012	0.017	0.003	0.004	0.062	0.01	0.005	0.009	0.019	0.03	0.018	0.007	0.01	0.014
0.252	0.834	1	1	0.034	0.024	0.047	0.017	0.039	0.067	0.065	0.011	0.019	0.183	0.343	0.012	0.118	0.078	0.013	0.092
0.784	0.927	1	1	0.479	0.034	0.041	0.093	0.106	0.038	0.227	0.029	0.05	0.028	0.178	0.171	0.056	0.09	0.16	0.027
0.871	0.465	1	1	0.024	0.034	0.061	0.067	0.167	0.346	0.247	0.017	0.182	0.116	0.041	0.166	0.035	0.018	0.222	0.638
0.26	0.987	1	1	0.109	0.031	0.138	0.249	0.029	0.022	0.012	0.083	0.018	0.03	0.014	0.005	0.054	0.028	0.027	0.081
