Xc1	Xc2	Xp1	Xp2	Xi1	Xi2	Xs1	Xs2	Xs3	Xs4	Xs5	Xs6	Xs7	Xs8	Xs9	Xs10	Xs11	Xs12	Xs13	Xs14
1	1	1	1	0.338	0.213	0.229	0.372	0.28	0.409	0.219	0.142	0.233	0.385	0.19	0.244	0.283	0.556	0.243	0.145
1	1	1	1	0.282	0.189	0.457	0.764	0.14	0.799	0.285	0.117	0.751	0.242	0.142	0.141	0.259	0.184	0.144	0.155
1	1	1	1	0.162	0.158	0.268	0.209	0.128	0.058	0.161	0.15	0.083	0.195	0.277	0.086	0.123	0.087	0.199	0.181
1	1	1	1	0.26	0.311	0.157	0.117	0.203	0.17	0.291	0.384	0.142	0.175	0.162	0.396	0.11	0.163	0.175	0.274
1	1	1	1	0.403	0.195	0.248	0.135	0.538	0.182	0.186	0.146	0.375	0.367	0.325	0.158	0.116	0.387	0.238	0.222
1	1	1	1	0.488	0.197	0.236	0.117	0.118	0.331	0.225	0.098	0.18	0.604	0.274	0.316	0.133	0.135	0.164	0.213
1	1	1	1	0.405	0.954	0.117	0.13	0.103	0.496	0.146	0.169	0.236	0.421	0.18	0.154	0.169	0.591	0.131	0.131
1	1	1	1	0.333	0.209	0.222	0.288	0.11	0.216	0.397	0.633	0.134	0.128	0.179	0.172	0.19	0.343	0.127	0.189
1	1	1	1	0.23	0.464	0.261	0.369	0.694	0.206	0.203	0.457	0.244	0.17	0.62	0.652	0.176	0.329	0.322	0.225
1	1	1	1	0.552	0.731	0.26	0.249	0.436	0.719	0.314	0.698	0.133	0.394	0.447	0.668	0.224	0.125	0.171	0.251
1	1	1	1	0.501	0.292	0.139	0.139	0.199	0.381	0.123	0.598	0.201	0.149	0.1	0.167	0.89	0.162	0.732	0.139
1	1	1	1	0.182	0.174	0.184	0.141	0.222	0.422	0.155	0.473	0.133	0.249	0.141	0.249	0.486	0.24	0.084	0.12
1	1	1	1	0.228	0.872	0.539	0.196	0.107	0.237	0.326	0.851	0.094	0.176	0.158	0.125	0.546	0.791	0.292	0.189
1	1	1	1	0.296	0.204	0.391	0.224	0.179	0.657	0.211	0.449	0.155	0.208	0.55	0.146	0.222	0.763	0.227	0.458
1	1	1	1	0.412	0.22	0.254	0.081	0.117	0.601	0.246	0.124	0.134	0.22	0.469	0.516	0.29	0.1	0.099	0.335
1	1	1	1	0.39	0.818	0.493	0.263	0.166	0.318	0.154	0.501	0.173	0.111	0.234	0.224	0.189	0.241	0.246	0.139
1	1	1	1	0.298	0.38	0.184	0.338	0.144	0.227	0.511	0.281	0.593	0.436	0.157	0.222	0.18	0.133	0.587	0.26
1	0.999	1	1	0.298	0.346	0.406	0.155	0.167	0.194	0.201	0.251	0.184	0.164	0.701	0.37	0.395	0.209	0.307	0.173
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
