Xc1	Xc2	Xp1	Xp2	Xi1	Xi2	Xs1	Xs2	Xs3	Xs4	Xs5	Xs6	Xs7	Xs8	Xs9	Xs10	Xs11	Xs12	Xs13	Xs14
1	1	1	1	0.104	0.019	0.035	0.076	0.049	0.042	0.022	0.016	0.037	0.093	0.017	0.025	0.053	0.147	0.045	0.016
1	1	1	1	0.046	0.021	0.104	0.195	0.017	0.559	0.063	0.009	0.315	0.047	0.013	0.024	0.052	0.037	0.018	0.022
1	1	1	1	0.007	0.008	0.059	0.045	0.012	0.008	0.012	0.026	0.006	0.036	0.072	0.006	0.023	0.006	0.02	0.016
1	1	1	1	0.021	0.012	0.025	0.006	0.025	0.015	0.076	0.067	0.015	0.025	0.029	0.076	0.01	0.026	0.012	0.036
1	1	1	1	0.224	0.025	0.083	0.025	0.171	0.041	0.038	0.027	0.099	0.175	0.117	0.049	0.028	0.202	0.039	0.076
0.999	1	1	0.999	0.057	0.012	0.033	0.015	0.014	0.035	0.036	0.008	0.017	0.134	0.051	0.043	0.014	0.01	0.025	0.039
1	1	1	1	0.092	0.59	0.022	0.022	0.017	0.172	0.025	0.023	0.068	0.098	0.042	0.018	0.052	0.294	0.016	0.016
1	1	1	0.997	0.022	0.01	0.017	0.064	0.01	0.027	0.058	0.215	0.012	0.009	0.019	0.013	0.015	0.051	0.016	0.025
1	1	0.981	0.998	0.018	0.119	0.031	0.094	0.295	0.023	0.029	0.183	0.067	0.025	0.204	0.289	0.035	0.097	0.065	0.027
1	1	0.998	1	0.141	0.294	0.078	0.075	0.171	0.255	0.105	0.255	0.031	0.099	0.116	0.245	0.047	0.03	0.068	0.051
1	0.994	1	1	0.116	0.08	0.016	0.02	0.035	0.066	0.015	0.273	0.046	0.02	0.012	0.036	0.526	0.013	0.345	0.022
1	1	1	1	0.024	0.007	0.053	0.033	0.043	0.121	0.019	0.143	0.017	0.081	0.016	0.029	0.153	0.086	0.011	0.01
1	1	1	1	0.103	0.491	0.396	0.079	0.077	0.108	0.094	0.7	0.029	0.104	0.079	0.054	0.361	0.596	0.143	0.099
1	1	1	1	0.026	0.035	0.044	0.034	0.028	0.315	0.035	0.128	0.018	0.048	0.229	0.02	0.041	0.295	0.041	0.132
1	1	1	1	0.021	0.007	0.036	0.004	0.012	0.091	0.027	0.007	0.022	0.06	0.088	0.164	0.048	0.009	0.015	0.043
1	1	1	1	0.077	0.358	0.238	0.096	0.027	0.116	0.038	0.166	0.043	0.04	0.071	0.048	0.036	0.064	0.083	0.04
1	1	1	1	0.022	0.056	0.014	0.052	0.012	0.021	0.071	0.021	0.142	0.049	0.012	0.031	0.016	0.012	0.093	0.032
1	0.986	1	1	0.195	0.023	0.15	0.023	0.05	0.025	0.053	0.04	0.049	0.023	0.493	0.14	0.128	0.032	0.052	0.021
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
