Xc1	Xc2	Xp1	Xp2	Xi1	Xi2	Xs1	Xs2	Xs3	Xs4	Xs5	Xs6	Xs7	Xs8	Xs9	Xs10	Xs11	Xs12	Xs13	Xs14
0.344	0.519	1	1	0.082	0.048	0.045	0.118	0.04	0.14	0.246	0.035	0.028	0.076	0.291	0.045	0.033	0.106	0.039	0.276
0.844	0.654	1	1	0.235	0.04	0.073	0.072	0.037	0.023	0.095	0.067	0.119	0.024	0.151	0.045	0.059	0.048	0.295	0.095
0.831	0.705	1	1	0.124	0.025	0.043	0.096	0.067	0.038	0.025	0.018	0.044	0.108	0.016	0.033	0.072	0.179	0.051	0.02
0.304	0.722	1	1	0.046	0.022	0.098	0.196	0.018	0.559	0.069	0.014	0.316	0.046	0.016	0.025	0.046	0.032	0.017	0.021
0.077	0.438	1	1	0.009	0.008	0.051	0.036	0.01	0.009	0.011	0.029	0.008	0.028	0.064	0.007	0.023	0.006	0.021	0.014
0.52	0.116	1	1	0.02	0.021	0.026	0.006	0.025	0.014	0.08	0.08	0.022	0.017	0.031	0.099	0.013	0.023	0.012	0.034
0.521	0.37	1	1	0.257	0.032	0.094	0.032	0.2	0.048	0.056	0.026	0.12	0.189	0.143	0.055	0.026	0.214	0.042	0.081
0.201	0.689	1	1	0.069	0.013	0.026	0.014	0.021	0.034	0.037	0.006	0.016	0.167	0.055	0.036	0.013	0.016	0.031	0.037
0.916	0.575	1	1	0.111	0.647	0.027	0.032	0.018	0.221	0.031	0.021	0.084	0.113	0.048	0.025	0.062	0.348	0.038	0.027
0.142	0.297	1	1	0.029	0.015	0.024	0.068	0.012	0.036	0.069	0.235	0.016	0.011	0.026	0.016	0.02	0.06	0.019	0.023
0.35035035035035	0.697697697697698	0.998998998998999	1	0.02002002002002	0.14014014014014	0.034034034034034	0.121121121121121	0.349349349349349	0.032032032032032	0.035035035035035	0.236236236236236	0.0710710710710711	0.038038038038038	0.219219219219219	0.366366366366366	0.0500500500500501	0.12012012012012	0.0770770770770771	0.035035035035035
0.754754754754755	0.341341341341341	1	1	0.145145145145145	0.324324324324324	0.0800800800800801	0.0840840840840841	0.198198198198198	0.275275275275275	0.128128128128128	0.277277277277277	0.036036036036036	0.0970970970970971	0.126126126126126	0.264264264264264	0.0500500500500501	0.029029029029029	0.0940940940940941	0.0600600600600601
0.421	0.071	1	1	0.119	0.06	0.014	0.023	0.04	0.067	0.013	0.249	0.038	0.016	0.013	0.033	0.529	0.012	0.344	0.019
0.252	0.777	1	1	0.025	0.01	0.056	0.042	0.044	0.136	0.026	0.161	0.018	0.081	0.017	0.036	0.157	0.089	0.008	0.012
0.461	0.934	1	1	0.12	0.563	0.515	0.106	0.104	0.126	0.148	0.777	0.054	0.137	0.108	0.064	0.413	0.686	0.174	0.134
